"method","alpha","b","alpha_gap_vs_reference","b_gap_vs_reference","alpha_error_vs_truth","b_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct","optimization_time","converged","fncount","grcount","replicate"
"spline",1.06927340764662,0.370071329096051,-0.0116994955560705,0.00841993055426193,-0.130726592353375,0.070071329096051,0.633123531748424,0.00178505158575779,0.25,TRUE,13,13,42
"chebyshev",1.06935600020658,0.369946095507336,-0.0116169029961199,0.00829469696554741,-0.130643999793425,0.0699460955073364,0.609508863279189,0.00171847152786333,0.330000000000041,TRUE,13,13,42
"reference",1.03572625813412,0.343933235680696,0,0,-0.164273741865878,0.0439332356806957,0,0,10.0700000000001,TRUE,13,13,43
"spline",1.04734598056273,0.339913161203095,0.0116197224286114,-0.0040200744776005,-0.152654019437266,0.0399131612030952,0.816890714530018,0.00257535411517277,0.200000000000045,TRUE,12,12,43
"chebyshev",1.04751735201129,0.339734989899081,0.0117910938771724,-0.00419824578161437,-0.152482647988705,0.0397349898990813,0.800549661656987,0.00252383682281742,0.350000000000023,TRUE,12,12,43
"reference",1.07875834312297,0.406149714249518,0,0,-0.121241656877028,0.106149714249518,0,0,9.87,TRUE,13,13,44
"spline",1.09530854195834,0.396629484231011,0.0165501988353693,-0.00952023001850683,-0.104691458041659,0.0966294842310115,1.0876658167108,0.00297681610117123,0.879999999999995,FALSE,54,54,44
"chebyshev",1.09525416078276,0.396656948088848,0.0164958176597854,-0.00949276616067057,-0.104745839217243,0.0966569480888477,1.07987968099769,0.00295550634425824,1.20000000000005,FALSE,54,54,44
"reference",1.03363224497106,0.450586583167438,0,0,-0.166367755028939,0.150586583167438,0,0,12.4200000000001,TRUE,16,16,45
"spline",1.04015813067322,0.4459174107092,0.00652588570216217,-0.00466917245823861,-0.159841869326777,0.1459174107092,0.143311446176085,0.000379690137593943,0.25,TRUE,15,15,45
"chebyshev",1.03962551130099,0.446389336076178,0.00599326632992958,-0.00419724709126063,-0.16037448869901,0.146389336076178,0.127319983774214,0.000337322268720201,0.420000000000073,TRUE,16,16,45
"reference",1.01647876504163,0.364565411435839,0,0,-0.183521234958373,0.0645654114358395,0,0,10.21,TRUE,13,13,46
"spline",1.08427239124969,0.333507285790696,0.0677936262080583,-0.0310581256451432,-0.115727608750315,0.0335072857906963,17.3736223322921,0.0526690614600855,0.220000000000027,TRUE,13,13,46
"chebyshev",1.08439227509077,0.333365666114186,0.0679135100491415,-0.031199745321653,-0.115607724909232,0.0333656661141865,17.3341618488776,0.0525494349028566,0.339999999999918,TRUE,13,13,46
"reference",1.0417824425522,0.30190063688744,0,0,-0.158217557447805,0.00190063688744041,0,0,8.38999999999999,TRUE,11,11,47
"spline",1.03680128860108,0.310080480657823,-0.00498115395111531,0.00817984377038289,-0.16319871139892,0.0100804806578233,3.45760278170565,0.0120249676601247,0.190000000000055,TRUE,12,12,47
"chebyshev",1.03706118685238,0.309924024694149,-0.00472125569981063,0.00802338780670864,-0.162938813147615,0.00992402469414905,3.40724102271633,0.0118498178348302,0.330000000000041,TRUE,12,12,47
"reference",1.09729957057219,0.311291525872361,0,0,-0.102700429427805,0.0112915258723608,0,0,9.49000000000001,TRUE,12,12,48
"spline",1.10612337359946,0.309103044619987,0.00882380302726204,-0.00218848125237331,-0.0938766264005433,0.00910304461998745,0.632382046343992,0.00188590651805757,0.719999999999914,TRUE,45,45,48
"chebyshev",1.10633623457146,0.308916715349905,0.00903666399926739,-0.00237481052245614,-0.0936637654285379,0.00891671534990462,0.61009375568392,0.00181943778625976,0.529999999999973,TRUE,23,23,48
"reference",1.03463401058821,0.329159285878908,0,0,-0.16536598941179,0.0291592858789084,0,0,9.65999999999997,TRUE,12,12,49
"spline",1.0597078851335,0.320159684494613,0.0250738745452945,-0.00899960138429517,-0.140292114866496,0.0201596844946132,3.57550795725547,0.0109414827099217,0.269999999999982,TRUE,15,15,49
"chebyshev",1.05997487977798,0.319935354784919,0.0253408691897741,-0.00922393109398906,-0.140025120222016,0.0199353547849193,3.56628569120949,0.0109132614709552,0.340000000000032,TRUE,14,14,49
"reference",1.0407090980608,0.363453616799611,0,0,-0.159290901939204,0.0634536167996108,0,0,8.56000000000006,TRUE,11,11,50
"spline",1.04175491581938,0.364516989425061,0.00104581775858503,0.00106337262545014,-0.158245084180619,0.064516989425061,0.212535310492967,0.000616706928997376,0.25,TRUE,13,13,50
"chebyshev",1.0419017507075,0.364391266102973,0.00119265264670299,0.000937649303361709,-0.158098249292501,0.0643912661029725,0.20496869336057,0.000594751117495767,0.309999999999945,TRUE,13,13,50
